Temp,Pressure (kPa),v,u,h,s,state
600,1000,0.40109,3296.76,3697.85,8.0289,superheated
600,1200,0.33393,3295.6,3696.32,7.9434,superheated
600,1400,0.28596,3294.44,3694.78,7.871,superheated
600,1600,0.24998,3293.27,3693.23,7.808,superheated
600,1800,0.22199,3292.1,3691.69,7.7523,superheated
600,2000,0.1996,3290.93,3690.14,7.7023,superheated
600,2500,0.1593,3287.99,3686.25,7.596,superheated
600,3000,0.13243,3285.03,3682.34,7.5084,superheated
600,4000,0.09885,3279.06,3674.44,7.3688,superheated
600,5000,0.07869,3273.01,3666.47,7.2588,superheated
600,6000,0.06525,3266.89,3658.4,7.1676,superheated
600,8000,0.04845,3254.43,3642.03,7.0205,superheated
600,10000,0.03837,3241.68,3625.34,6.9028,superheated
600,15000,0.02491,3208.64,3582.3,6.6775,superheated
600,20000,0.01818,3174,3537.57,6.5048,superheated
600,30000,0.011446,3100.53,3443.91,6.233,superheated
600,40000,0.008094,3022.61,3346.38,6.0113,superheated
650,15000,0.0268,3310.37,3712.32,6.8223,superheated
650,20000,0.01969,3281.46,3675.32,6.6582,superheated
650,30000,0.012596,3221.04,3598.93,6.4057,superheated
650,40000,0.009064,3158.04,3520.58,6.2054,superheated
700,10,44.91052,3479.63,3928.73,10.4028,superheated
700,50,8.98104,3479.45,3928.51,9.6599,superheated
700,100,4.48986,3479.24,3928.23,9.3398,superheated
700,200,2.24426,3478.81,3927.66,9.0194,superheated
700,300,1.49573,3478.38,3927.1,8.8319,superheated
700,400,1.12147,3477.95,3926.53,8.6987,superheated
700,500,0.89691,3477.52,3925.97,8.5952,superheated
700,600,0.7472,3477.08,3925.41,8.5107,superheated
700,800,0.56007,3476.22,3924.27,8.377,superheated
700,1000,0.44779,3475.35,3923.14,8.2731,superheated
700,1200,0.37294,3474.48,3922.01,8.1881,superheated
700,1400,0.31947,3473.61,3920.87,8.116,superheated
700,1600,0.27937,3472.74,3919.73,8.0535,superheated
700,1800,0.24818,3471.87,3918.59,7.9983,superheated
700,2000,0.22323,3470.99,3917.45,7.9487,superheated
700,2500,0.17832,3468.8,3914.59,7.8435,superheated
700,3000,0.14838,3466.59,3911.72,7.7571,superheated
700,4000,0.11095,3462.15,3905.94,7.6198,superheated
700,5000,0.08849,3457.67,3900.13,7.5122,superheated
700,6000,0.07352,3453.15,3894.28,7.4234,superheated
700,8000,0.05481,3444,3882.47,7.2812,superheated
700,10000,0.04358,3434.72,3870.52,7.1687,superheated
700,15000,0.02861,3410.94,3840.12,6.9572,superheated
700,20000,0.02113,3386.46,3809.09,6.7993,superheated
700,30000,0.013661,3335.84,3745.67,6.5606,superheated
700,40000,0.009942,3283.63,3681.29,6.375,superheated
800,10,49.52599,3663.84,4159.1,10.6281,superheated
800,50,9.90444,3663.7,4158.92,9.8852,superheated
800,100,4.95174,3663.53,4158.71,9.5652,superheated
800,200,2.47539,3663.19,4158.27,9.245,superheated
800,300,1.64994,3662.85,4157.83,9.0575,superheated
800,400,1.23722,3662.51,4157.4,8.9244,superheated
800,500,0.98959,3662.17,4156.96,8.8211,superheated
800,600,0.8245,3661.83,4156.52,8.7367,superheated
800,800,0.61813,3661.14,4155.65,8.6033,superheated
800,1000,0.49432,3660.46,4154.78,8.4996,superheated
800,1200,0.41177,3659.77,4153.9,8.4149,superheated
800,1400,0.35281,3659.09,4153.03,8.3431,superheated
800,1600,0.30859,3658.4,4152.15,8.2808,superheated
800,1800,0.2742,3657.71,4151.27,8.2258,superheated
800,2000,0.24668,3657.03,4150.4,8.1766,superheated
800,2500,0.19716,3655.3,4148.2,8.072,superheated
800,3000,0.16414,3653.58,4146,7.9862,superheated
800,4000,0.12287,3650.11,4141.59,7.8502,superheated
800,5000,0.09811,3646.62,4137.17,7.744,superheated
800,6000,0.0816,3643.12,4132.74,7.6566,superheated
800,8000,0.06097,3636.08,4123.84,7.5173,superheated
800,10000,0.04859,3628.97,4114.91,7.4077,superheated
800,15000,0.0321,3610.99,4092.43,7.204,superheated
800,20000,0.02385,3592.73,4069.8,7.0544,superheated
800,30000,0.015623,3555.6,4024.31,6.8332,superheated
800,40000,0.011523,3517.89,3978.8,6.6662,superheated
900,10,54.14137,3855.03,4396.44,10.8395,superheated
900,50,10.82773,3854.91,4396.3,10.0967,superheated
900,100,5.41353,3854.77,4396.12,9.7767,superheated
900,200,2.70643,3854.49,4395.77,9.4565,superheated
900,300,1.80406,3854.2,4395.42,9.2691,superheated
900,400,1.35288,3853.91,4395.06,9.1361,superheated
900,500,1.08217,3853.63,4394.71,9.0329,superheated
900,600,0.90169,3853.34,4394.36,8.9485,superheated
900,800,0.6761,3852.77,4393.65,8.8153,superheated
900,1000,0.54075,3852.19,4392.94,8.7118,superheated
900,1200,0.45051,3851.62,4392.23,8.6272,superheated
900,1400,0.38606,3851.05,4391.53,8.5555,superheated
900,1600,0.33772,3850.47,4390.82,8.4934,superheated
